Pango Lineage,count
B.1.1.7,2532
B.1.2,1610
B.1.526,1065
B.1.596,342
B.1.429,270
B.1.351,141
B.1.637,131
B.1.1.519,116
B.1.243,111
Q.8,96
B.1,91
None,82
B.1.311,60
B.1.427,60
P.1,60
B.1.349,60
B.1.1.207,48
B.1.234,45
R.1,44
P.1.10,40
B.1.623,36
B.1.1.222,31
P.2,28
B.1.1.329,27
B.1.1.434,27
B.1.1,26
B.1.265,26
B.1.240,24
B.1.568,23
B.1.110.3,22
B.1.595,19
B.1.617.2,17
B.1.582,15
B.1.575,15
B.1.588,13
Q.3,12
B.1.369,11
B.1.525,10
B.1.596.1,10
B.1.1.432,10
B.1.396,9
B.1.517,9
B.1.409,8
C.37,7
B.1.541,6
A.23.1,6
B.1.1.316,6
B.1.239,5
B.1.609,5
B.1.605,5
B.1.509,5
B.1.306,5
A,5
B.1.375,5
B.1.400,5
B.1.567,5
B.1.1.318,4
B.1.1.25,4
B,4
B.1.577,4
C.36.3,4
B.1.36.8,4
A.2.5,4
W.1,4
B.1.1.135,4
B.1.551,3
B.1.627,3
B.1.438.3,3
B.1.110,3
B.1.1.351,3
B.1.1.220,3
B.1.617.1,3
B.1.561,3
C.38,3
B.1.1.194,3
B.1.1.486,3
B.1.1.1,3
B.1.423,3
B.1.404,3
B.1.1.174,3
B.1.1.139,2
B.1.1.403,2
B.1.433,2
B.1.1.485,2
B.1.565,2
B.1.258,2
B.1.111,2
B.1.3,2
B.1.385,2
B.1.636,2
B.1.478,2
B.1.466.1,2
B.1.520,2
B.1.628,2
B.1.1.26,2
B.1.1.416,2
B.1.591,2
B.1.298,2
B.1.1.231,2
B.1.333,1
P.1.2,1
B.1.1.101,1
B.1.599,1
B.1.398,1
B.1.241,1
B.1.346,1
B.1.237,1
B.1.119,1
B.1.621,1
B.1.36.31,1
B.1.1.348,1
B.1.543,1
B.1.1.334,1
B.1.550,1
B.1.361,1
Q.4,1
B.1.576,1
B.1.539,1
B.1.232,1
Q.2,1
B.1.1.192,1
B.1.1.186,1
P.1.1,1
B.1.595.3,1
B.1.324,1
B.1.1.320,1
B.1.503,1
N.1,1
B.1.581,1
B.1.1.464,1
B.1.36.10,1
B.1.351.3,1
B.1.564,1
B.1.578,1
B.1.448,1
